2025-09-20 02:57:04.558 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:04.641 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:04.641 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001302, 增益=10.00
2025-09-20 02:57:04.641 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0351, rms_amp=0.0130, mean_amp=0.0106, non_zero_ratio=0.991, zero_ratio=0.009
2025-09-20 02:57:04.644 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.035095 > 0.003
2025-09-20 02:57:04.644 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0351, rms_amp=0.0130, buffer_before=77824, buffer_after=81920, trimmed=False, processing_time=85.8ms
2025-09-20 02:57:04.650 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.013025, 时长=0.26s
2025-09-20 02:57:04.798 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:04.801 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:04.802 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.000891, 增益=10.00
2025-09-20 02:57:04.802 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0247, rms_amp=0.0089, mean_amp=0.0074, non_zero_ratio=0.990, zero_ratio=0.010
2025-09-20 02:57:04.804 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[低]: max_amp=0.024719 > 0.003
2025-09-20 02:57:04.805 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0247, rms_amp=0.0089, buffer_before=81920, buffer_after=86016, trimmed=False, processing_time=7.0ms
2025-09-20 02:57:04.814 | DEBUG    | audio | add_audio_chunk:777 | 🔉 轻声音频输入: RMS=0.008907, 时长=0.26s
2025-09-20 02:57:05.057 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:05.061 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:05.062 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001279, 增益=10.00
2025-09-20 02:57:05.062 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0391, rms_amp=0.0128, mean_amp=0.0101, non_zero_ratio=0.990, zero_ratio=0.010
2025-09-20 02:57:05.064 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.039062 > 0.003
2025-09-20 02:57:05.064 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0391, rms_amp=0.0128, buffer_before=86016, buffer_after=90112, trimmed=False, processing_time=6.8ms
2025-09-20 02:57:05.068 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.012787, 时长=0.26s
2025-09-20 02:57:05.307 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:05.312 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:05.312 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001261, 增益=10.00
2025-09-20 02:57:05.313 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0339, rms_amp=0.0126, mean_amp=0.0106, non_zero_ratio=0.991, zero_ratio=0.009
2025-09-20 02:57:05.315 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.033875 > 0.003
2025-09-20 02:57:05.315 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0339, rms_amp=0.0126, buffer_before=90112, buffer_after=94208, trimmed=False, processing_time=7.6ms
2025-09-20 02:57:05.320 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.012608, 时长=0.26s
2025-09-20 02:57:05.567 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:05.571 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:05.572 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001430, 增益=10.00
